time_s,node,x,y,z,error_m
0.1,54,135.000353767,-77.941654762,0,3.79974179837e-10
0.1,55,165.000290906,-77.9415882,0,2.21639218233e-10
0.1,56,195.000312939,-77.941419493,0,5.97476389046e-10
0.1,57,225.000334969,-77.941370725,0,4.10962266716e-10
0.1,58,255.000357008,-77.941219811,0,5.98892648212e-10
0.1,59,285.00029416,-77.941077789,0,6.45124082318e-10
0.1,60,315.000316204,-77.940944666,0,2.97649664013e-10
0.1,61,0.00042444,-103.923032212,0,4.47694620895e-10
0.1,62,30.000427476,-103.922870099,0,5.10803108033e-10
0.1,63,60.000430514,-103.922716881,0,4.93764683744e-10
0.1,64,90.000433553,-103.922683603,0,3.81696009051e-10
0.1,65,120.000436594,-103.922548178,0,6.305503635e-10
0.1,66,150.000439637,-103.922421651,0,2.11837352243e-10
0.1,67,180.000442682,-103.92230402,0,4.92912488889e-10
0.1,68,210.00044573,-103.922195285,0,5.0420201868e-10
0.1,69,240.000448781,-103.922095447,0,4.36034028405e-10
0.1,70,270.000451838,-103.921893462,0,5.15634376673e-10
0.1,71,300.000454896,-103.921811417,0,5.8188257382e-10
0.1,72,330.000457956,-103.921738268,0,1.72309426269e-10
0.1,73,-14.999482699,-129.903863411,0,2.16847037002e-10
0.1,74,15.000501351,-129.903752371,0,4.68677444379e-10
0.1,75,45.000485404,-129.903539184,0,5.11812072573e-10
0.1,76,75.000554346,-129.903445939,0,4.33814699279e-10
0.1,77,105.0005384,-129.903361589,0,4.56265492811e-10
0.1,78,135.000522459,-129.903175094,0,2.50411604451e-10
0.1,79,165.000506518,-129.903108538,0,4.50644236237e-10
0.1,80,195.000490581,-129.902939835,0,8.12583581676e-11
0.1,81,225.000559532,-129.902891075,0,6.06995330526e-10
0.1,82,255.000543602,-129.902740167,0,2.9265342882e-10
0.1,83,285.000527674,-129.902598155,0,5.89103504118e-10
0.1,84,315.000511751,-129.902465041,0,3.29610657044e-10
0.1,85,0.000594212,-155.884554638,0,2.51707170542e-10
0.1,86,30.000644165,-155.884392526,0,3.04896108974e-10
0.1,87,60.000609232,-155.88423931,0,4.85118325041e-10
0.1,88,90.000659188,-155.884206035,0,1.40662933617e-10
0.1,89,120.000624259,-155.884070614,0,1.30588386776e-10
0.1,90,150.000589332,-155.88394409,0,6.58587414268e-10
0.1,91,180.000639294,-155.883826464,0,4.14721747123e-10
0.1,92,210.000604371,-155.883717734,0,4.788750847e-10
0.1,93,240.000654339,-155.883617905,0,3.75312163039e-10
0.1,94,270.000619426,-155.883415927,0,2.87927663073e-10
0.1,95,300.0006694,-155.883333891,0,1.82300389211e-10
0.1,96,330.00063449,-155.88326075,0,5.83712990522e-10
0.1,97,-14.999293942,-181.86538794,0,3.45413515881e-10
0.1,98,15.000737023,-181.865276901,0,2.85956692979e-10
0.1,99,45.00076799,-181.865063718,0,3.48107635174e-10
0.1,100,75.000714071,-181.864970473,0,4.1111664046e-10
0.1,101,105.000745041,-181.864886128,0,4.8583250999e-10
0.1,102,135.000691127,-181.864699635,0,6.51537179737e-10
0.1,103,165.0007221,-181.864633084,0,5.76976620175e-10
0.1,104,195.000753078,-181.864464389,0,2.03021783235e-10
0.1,105,225.000699169,-181.864415632,0,5.80509772116e-10
0.1,106,255.000730153,-181.864264732,0,1.09807772269e-09
0.1,107,285.000761139,-181.864122731,0,3.97284343599e-10
0.1,108,315.000707243,-181.863989625,0,3.6986451981e-10
0.1,109,0.000848868,-207.846081271,0,1.36320628682e-10
0.1,110,30.000860846,-207.84591916,0,4.22780043191e-10
0.1,111,60.000872825,-207.845765947,0,5.51387101123e-10
0.1,112,90.000799919,-207.845732674,0,4.99712746209e-10
0.1,113,120.000811901,-207.845597257,0,3.86892257544e-10
0.1,114,150.000823886,-207.845470739,0,3.04038206141e-10
0.1,115,180.000835873,-207.845353119,0,4.46235510297e-10
0.1,116,210.000847862,-207.845244396,0,1.4684036225e-10
0.1,117,240.000859855,-207.845144571,0,2.04712023931e-10
0.1,118,270.000871854,-207.844942603,0,2.23579156389e-10
0.1,119,300.000798965,-207.844860572,0,7.29795130885e-10
0.1,120,330.000810972,-207.8446764,0,5.23796810368e-10
32.663152361,121,-30.000201811,51.961449813,30,0
63.326304715,121,-30.000201811,51.961449813,30,0
69.326304701,121,-30.000201811,51.961449813,30,0
75.32630469,121,-30.000201811,51.961449813,30,0
81.326304683,121,-30.000201811,51.961449813,30,0
87.326304678,121,-30.000201811,51.961449813,30,0
93.326304674,121,-30.000201811,51.961449813,30,0
99.326304672,121,-30.000201811,51.961449813,30,0
105.326304671,121,-30.000201811,51.961449813,30,0
111.326304671,121,-30.000201811,51.961449813,30,0
117.367685935,121,-30.000201811,51.961449813,30,0
123.409067201,121,-30.000201811,51.961449813,30,0
129.409067201,121,-30.000201811,51.961449813,30,0
135.4090672,121,-30.000201811,51.961449813,30,0
141.409067198,121,-30.000201811,51.961449813,30,0
147.409067194,121,-30.000201811,51.961449813,30,0
153.409067188,121,-30.000201811,51.961449813,30,0
159.409067181,121,-30.000201811,51.961449813,30,0
165.409067171,121,-30.000201811,51.961449813,30,0
171.409067158,121,-30.000201811,51.961449813,30,0
177.450448411,121,-30.000201811,51.961449813,30,0
183.491829665,121,-30.000201811,51.961449813,30,0
189.49182965,121,-30.000201811,51.961449813,30,0
195.491829639,121,-30.000201811,51.961449813,30,0
201.491829631,121,-30.000201811,51.961449813,30,0
207.491829625,121,-30.000201811,51.961449813,30,0
213.491829621,121,-30.000201811,51.961449813,30,0
219.491829618,121,-30.000201811,51.961449813,30,0
225.491829617,121,-30.000201811,51.961449813,30,0
231.491829616,121,-30.000201811,51.961449813,30,0
237.53321088,121,-30.000201811,51.961449813,30,0
243.574592144,121,-30.000201811,51.961449813,30,0
249.574592142,121,-30.000201811,51.961449813,30,0
255.57459214,121,-30.000201811,51.961449813,30,0
261.574592137,121,-30.000201811,51.961449813,30,0
267.574592133,121,-30.000201811,51.961449813,30,0
273.574592126,121,-30.000201811,51.961449813,30,0
279.574592118,121,-30.000201811,51.961449813,30,0
285.574592107,121,-30.000201811,51.961449813,30,0
291.574592093,121,-30.000201811,51.961449813,30,0
297.615973346,121,-30.000201811,51.961449813,30,0
303.657354597,121,-30.000201811,51.961449813,30,0
309.657354582,121,-30.000201811,51.961449813,30,0
315.65735457,121,-30.000201811,51.961449813,30,0
321.657354561,121,-30.000201811,51.961449813,30,0
327.657354554,121,-30.000201811,51.961449813,30,0
333.657354549,121,-30.000201811,51.961449813,30,0
339.657354544,121,-30.000201811,51.961449813,30,0
345.657354542,121,-30.000201811,51.961449813,30,0
351.65735454,121,-30.000201811,51.961449813,30,0
357.698735802,121,-30.000201811,51.961449813,30,0
363.740117064,121,-30.000201811,51.961449813,30,0
369.740117061,121,-30.000201811,51.961449813,30,0
375.740117058,121,-30.000201811,51.961449813,30,0
381.740117054,121,-30.000201811,51.961449813,30,0
387.740117048,121,-30.000201811,51.961449813,30,0
393.74011704,121,-30.000201811,51.961449813,30,0
399.740117031,121,-30.000201811,51.961449813,30,0
405.740117018,121,-30.000201811,51.961449813,30,0
411.740117004,121,-30.000201811,51.961449813,30,0
418.645241828,121,-30.000201811,51.961449813,30,0
425.550366653,121,-30.000201811,51.961449813,30,0
431.55036664,121,-30.000201811,51.961449813,30,0
437.550366629,121,-30.000201811,51.961449813,30,0
443.55036662,121,-30.000201811,51.961449813,30,0
449.550366614,121,-30.000201811,51.961449813,30,0
455.550366608,121,-30.000201811,51.961449813,30,0
461.550366604,121,-30.000201811,51.961449813,30,0
467.5503666,121,-30.000201811,51.961449813,30,0
473.591747859,121,-30.000201811,51.961449813,30,0
479.633129116,121,-30.000201811,51.961449813,30,0
485.633129112,121,-30.000201811,51.961449813,30,0
491.633129107,121,-30.000201811,51.961449813,30,0
497.633129101,121,-30.000201811,51.961449813,30,0
503.633129093,121,-30.000201811,51.961449813,30,0
509.633129084,121,-30.000201811,51.961449813,30,0
515.633129072,121,-30.000201811,51.961449813,30,0
521.633129058,121,-30.000201811,51.961449813,30,0
527.633129041,121,-30.000201811,51.961449813,30,0
534.538253863,121,-30.000201811,51.961449813,30,0
541.443378685,121,-30.000201811,51.961449813,30,0
547.44337867,121,-30.000201811,51.961449813,30,0
553.443378657,121,-30.000201811,51.961449813,30,0
559.443378646,121,-30.000201811,51.961449813,30,0
565.443378638,121,-30.000201811,51.961449813,30,0
571.443378631,121,-30.000201811,51.961449813,30,0
577.443378624,121,-30.000201811,51.961449813,30,0
583.443378618,121,-30.000201811,51.961449813,30,0
589.484759871,121,-30.000201811,51.961449813,30,0
595.526141124,121,-30.000201811,51.961449813,30,0
601.526141117,121,-30.000201811,51.961449813,30,0
607.52614111,121,-30.000201811,51.961449813,30,0
613.526141101,121,-30.000201811,51.961449813,30,0
619.526141091,121,-30.000201811,51.961449813,30,0
625.52614108,121,-30.000201811,51.961449813,30,0
631.526141066,121,-30.000201811,51.961449813,30,0
637.526141049,121,-30.000201811,51.961449813,30,0
643.526141029,121,-30.000201811,51.961449813,30,0
650.431265849,121,-30.000201811,51.961449813,30,0
657.336390668,121,-30.000201811,51.961449813,30,0
663.33639065,121,-30.000201811,51.961449813,30,0
669.336390634,121,-30.000201811,51.961449813,30,0
675.33639062,121,-30.000201811,51.961449813,30,0
681.336390609,121,-30.000201811,51.961449813,30,0
687.336390599,121,-30.000201811,51.961449813,30,0
693.33639059,121,-30.000201811,51.961449813,30,0
699.336390581,121,-30.000201811,51.961449813,30,0
705.377771829,121,-30.000201811,51.961449813,30,0
711.419153075,121,-30.000201811,51.961449813,30,0
717.419153065,121,-30.000201811,51.961449813,30,0
723.419153054,121,-30.000201811,51.961449813,30,0
729.419153043,121,-30.000201811,51.961449813,30,0
735.41915303,121,-30.000201811,51.961449813,30,0
741.419153016,121,-30.000201811,51.961449813,30,0
747.419152999,121,-30.000201811,51.961449813,30,0
753.41915298,121,-30.000201811,51.961449813,30,0
759.419152957,121,-30.000201811,51.961449813,30,0
763.419152945,121,-30.000201811,51.961449813,30,0
